SME_LOAN_ID_NO,GENDER,MARITAL_STATUS,FAMILY_MEMBERS,QUALIFICATION,EMPLOYMENT,CANDIDATE_INCOME,GUARANTEE_INCOME,LOAN_AMOUNT,LOAN_DURATION,LOAN_HISTORY,LOAN_LOCATION,IncomeGroup,I_LOAN_APPROVAL_STATUS,P_N,P_Y
LP001015,Male,Married,0,Graduate,No,5720,0,110,360,1,City,4,Y,0.165404165,0.834595835
LP001022,Male,Married,1,Graduate,No,3076,1500,126,360,1,City,2,Y,0.2546778564,0.7453221436
LP001031,Male,Married,2,Graduate,No,5000,1800,208,360,1,City,3,Y,0.1532152292,0.8467847708
LP001035,Male,Married,2,Graduate,No,2340,2546,100,360,1,City,1,Y,0.1426175474,0.8573824526
LP001051,Male,Not Married,0,Under Graduate,No,3276,0,78,360,1,City,2,Y,0.320676685,0.679323315
LP001054,Male,Married,0,Under Graduate,Yes,2165,3422,152,360,1,City,1,Y,0.3004067887,0.6995932113
LP001055,Female,Not Married,1,Under Graduate,No,2226,0,59,360,1,Town,1,Y,0.2291068115,0.7708931885
LP001056,Male,Married,2,Under Graduate,No,3881,0,147,360,0,Village,3,N,0.9363429663,0.0636570337
LP001059,Male,Married,2,Graduate,No,13633,0,280,240,1,City,4,Y,0.1813467615,0.8186532385
LP001067,Male,Not Married,0,Under Graduate,No,2400,2400,123,360,1,Town,1,Y,0.2085222567,0.7914777433
LP001078,Male,Not Married,0,Under Graduate,No,3091,0,90,360,1,City,2,Y,0.3244131454,0.6755868546
LP001082,Male,Married,1,Graduate,No,2185,1516,162,360,1,Town,1,Y,0.1397147218,0.8602852782
LP001083,Male,Not Married,3,Graduate,No,4166,0,40,180,1,City,3,Y,0.1646635956,0.8353364044
LP001094,Male,Married,2,Graduate,No,12173,0,166,360,0,Town,4,N,0.7800079948,0.2199920052
LP001096,Female,Not Married,0,Graduate,No,4666,0,124,360,1,Town,3,Y,0.1231778779,0.8768221221
LP001099,Male,Not Married,1,Graduate,No,5667,0,131,360,1,City,4,Y,0.3351908603,0.6648091397
LP001105,Male,Married,2,Graduate,No,4583,2916,200,360,1,City,3,Y,0.161310732,0.838689268
LP001107,Male,Married,3,Graduate,No,3786,333,126,360,1,Town,3,Y,0.0857383868,0.9142616132
LP001108,Male,Married,0,Graduate,No,9226,7916,300,360,1,City,4,Y,0.2913523903,0.7086476097
LP001115,Male,Not Married,0,Graduate,No,1300,3470,100,180,1,Town,1,Y,0.1084557351,0.8915442649
LP001121,Male,Married,1,Under Graduate,No,1888,1620,48,360,1,City,1,Y,0.3193604371,0.6806395629
LP001124,Female,Not Married,3,Under Graduate,No,2083,0,28,180,1,City,1,Y,0.2173247856,0.7826752144
LP001128,Male,Not Married,0,Graduate,No,3909,0,101,360,1,City,3,Y,0.2439557857,0.7560442143
LP001135,Female,Not Married,0,Under Graduate,No,3765,0,125,360,1,City,2,Y,0.3206850715,0.6793149285
LP001149,Male,Married,0,Graduate,No,5400,4380,290,360,1,City,4,Y,0.249337325,0.750662675
LP001153,Male,Not Married,0,Graduate,No,0,24000,148,360,0,Village,1,N,0.9903180382,0.0096819618
LP001163,Male,Married,2,Graduate,No,4363,1250,140,360,1,City,3,Y,0.1380322137,0.8619677863
LP001169,Male,Married,0,Graduate,No,7500,3750,275,360,1,City,4,Y,0.2363381153,0.7636618847
LP001174,Male,Married,0,Graduate,No,3772,833,57,360,1,Town,2,Y,0.0812702381,0.9187297619
LP001176,Male,Not Married,0,Graduate,No,2942,2382,125,180,1,City,2,Y,0.2055781728,0.7944218272
LP001177,Female,Not Married,0,Under Graduate,No,2478,0,75,360,1,Town,1,Y,0.1667617587,0.8332382413
LP001183,Male,Married,2,Graduate,No,6250,820,192,360,1,City,4,Y,0.1419840008,0.8580159992
LP001185,Male,Not Married,0,Graduate,No,3268,1683,152,360,1,Town,2,Y,0.1477667133,0.8522332867
LP001187,Male,Married,0,Graduate,No,2783,2708,158,360,1,City,1,Y,0.2027039825,0.7972960175
LP001190,Male,Married,0,Graduate,No,2740,1541,101,360,1,City,1,Y,0.17968055,0.82031945
LP001203,Male,Not Married,0,Graduate,No,3150,0,176,360,0,Town,2,N,0.8962406387,0.1037593613
LP001208,Male,Married,2,Graduate,No,7350,4029,185,180,1,City,4,Y,0.1170425185,0.8829574815
LP001210,Male,Married,0,Graduate,Yes,2267,2792,90,360,1,City,1,Y,0.201601951,0.798398049
LP001211,Male,Not Married,0,Graduate,Yes,5833,0,116,360,1,City,4,Y,0.2602018485,0.7397981515
LP001219,Male,Not Married,0,Graduate,No,3643,1963,138,360,1,City,2,Y,0.2773543602,0.7226456398
LP001220,Male,Married,0,Graduate,No,5629,818,100,360,1,City,4,Y,0.1707274869,0.8292725131
LP001221,Female,Not Married,0,Graduate,No,3644,0,110,360,1,City,2,Y,0.2354091112,0.7645908888
LP001226,Male,Married,0,Under Graduate,No,1750,2024,90,360,1,Town,1,Y,0.1314874307,0.8685125693
LP001230,Male,Not Married,0,Graduate,No,6500,2600,200,360,1,Town,4,Y,0.1613774214,0.8386225786
LP001231,Female,Not Married,0,Graduate,No,3666,0,84,360,1,City,2,Y,0.2291657677,0.7708342323
LP001232,Male,Married,0,Graduate,No,4260,3900,185,360,1,City,3,Y,0.219794785,0.780205215
LP001237,Male,Married,0,Under Graduate,No,4163,1475,162,360,1,City,3,Y,0.2610519799,0.7389480201
LP001242,Male,Not Married,0,Under Graduate,No,2356,1902,108,360,1,Town,1,Y,0.2002387486,0.7997612514
LP001268,Male,Not Married,0,Graduate,No,6792,3338,187,360,1,City,4,Y,0.3051133873,0.6948866127
LP001270,Male,Married,3,Under Graduate,Yes,8000,250,187,360,1,Town,4,Y,0.1384203055,0.8615796945
LP001284,Male,Married,1,Graduate,No,2419,1707,124,360,1,City,1,Y,0.2572981418,0.7427018582
LP001287,Male,Married,3,Under Graduate,No,3500,833,120,360,1,Town,2,Y,0.1262818623,0.8737181377
LP001291,Male,Married,1,Graduate,No,3500,3077,160,360,1,Town,2,Y,0.1505768666,0.8494231334
LP001298,Male,Married,2,Graduate,No,4116,1000,30,180,1,City,3,Y,0.0831549275,0.9168450725
LP001312,Male,Married,0,Under Graduate,Yes,5293,0,92,360,1,City,4,Y,0.2393782134,0.7606217866
LP001313,Male,Not Married,0,Graduate,No,2750,0,130,360,0,City,1,N,0.9475739475,0.0524260525
LP001317,Female,Not Married,0,Under Graduate,No,4402,0,130,360,1,Village,3,Y,0.3659680829,0.6340319171
LP001321,Male,Married,2,Graduate,No,3613,3539,134,180,1,Town,2,Y,0.0522731509,0.9477268491
LP001323,Female,Married,2,Graduate,No,2779,3664,176,360,0,Town,1,N,0.8172360578,0.1827639422
LP001324,Male,Married,3,Graduate,No,4720,0,90,180,1,Town,3,Y,0.0548088534,0.9451911466
LP001332,Male,Married,0,Under Graduate,No,2415,1721,110,360,1,Town,1,Y,0.1319872746,0.8680127254
LP001335,Male,Married,0,Graduate,Yes,7016,292,125,360,1,City,4,Y,0.1808237731,0.8191762269
LP001338,Female,Not Married,2,Graduate,No,4968,0,189,360,1,Town,3,Y,0.0983453035,0.9016546965
