term,grade,sub_grade,home_ownership,verification_status,loan_status,earliest_cr_line,new_delinq_2yrs,new_inq_last_6mths,new_pub_rec
36 months,B,B2,RENT,Verified,Fully Paid,JAN1985,Not Delinquent,Low,good
60 months,C,C4,RENT,Source Verified,Charged Off,APR1999,Not Delinquent,High,good
36 months,C,C5,RENT,Not Verified,Fully Paid,NOV2001,Not Delinquent,Low,good
36 months,C,C1,RENT,Source Verified,Fully Paid,FEB1996,Not Delinquent,Low,good
60 months,B,B5,RENT,Source Verified,Fully Paid,JAN1996,Not Delinquent,No Inquiries,good
36 months,A,A4,RENT,Source Verified,Fully Paid,NOV2004,Not Delinquent,Low,good
60 months,C,C5,RENT,Not Verified,Fully Paid,JUL2005,Not Delinquent,Low,good
36 months,E,E1,RENT,Source Verified,Fully Paid,JAN2007,Not Delinquent,Low,good
60 months,F,F2,OWN,Source Verified,Charged Off,APR2004,Not Delinquent,Low,good
60 months,B,B5,RENT,Verified,Charged Off,SEP2004,Not Delinquent,No Inquiries,good
60 months,C,C3,OWN,Not Verified,Fully Paid,JAN1998,Not Delinquent,Low,good
36 months,B,B5,OWN,Source Verified,Fully Paid,OCT1989,Not Delinquent,No Inquiries,good
36 months,C,C1,RENT,Source Verified,Charged Off,APR2004,Not Delinquent,Low,good
36 months,B,B1,RENT,Source Verified,Fully Paid,JUL2003,Not Delinquent,Low,good
36 months,B,B2,RENT,Source Verified,Charged Off,MAY1991,Not Delinquent,Low,good
36 months,D,D1,RENT,Not Verified,Fully Paid,SEP2007,Not Delinquent,Low,good
36 months,C,C4,RENT,Not Verified,Fully Paid,OCT1998,Not Delinquent,Low,good
36 months,A,A1,MORTGAGE,Not Verified,Fully Paid,AUG1993,Not Delinquent,No Inquiries,good
36 months,B,B3,MORTGAGE,Verified,Fully Paid,OCT2003,Delinquent,No Inquiries,good
36 months,A,A1,RENT,Not Verified,Fully Paid,JAN2001,Not Delinquent,No Inquiries,good
60 months,C,C4,RENT,Verified,Fully Paid,NOV1997,Not Delinquent,Low,good
36 months,B,B4,RENT,Verified,Charged Off,FEB1983,Not Delinquent,No Inquiries,good
36 months,B,B3,OWN,Source Verified,Fully Paid,JUL1985,Not Delinquent,No Inquiries,good
36 months,B,B3,RENT,Not Verified,Fully Paid,APR2003,Not Delinquent,No Inquiries,good
36 months,B,B3,RENT,Not Verified,Charged Off,JUN2001,Not Delinquent,Low,good
36 months,B,B1,MORTGAGE,Verified,Fully Paid,FEB2002,Not Delinquent,No Inquiries,good
36 months,C,C2,RENT,Not Verified,Charged Off,OCT2003,Not Delinquent,Low,good
60 months,D,D2,RENT,Not Verified,Charged Off,OCT2003,Delinquent,No Inquiries,good
36 months,B,B3,MORTGAGE,Not Verified,Fully Paid,AUG1984,Delinquent,No Inquiries,good
36 months,B,B3,RENT,Source Verified,Fully Paid,NOV2006,Not Delinquent,No Inquiries,good
36 months,A,A3,MORTGAGE,Source Verified,Fully Paid,DEC1987,Not Delinquent,No Inquiries,good
36 months,A,A4,MORTGAGE,Verified,Fully Paid,NOV1981,Not Delinquent,No Inquiries,good
60 months,C,C5,RENT,Verified,Fully Paid,FEB1997,Not Delinquent,Low,good
36 months,A,A5,RENT,Verified,Fully Paid,APR2005,Not Delinquent,No Inquiries,good
36 months,C,C5,RENT,Source Verified,Fully Paid,OCT2007,Not Delinquent,Low,good
36 months,B,B2,RENT,Not Verified,Fully Paid,JUL2005,Not Delinquent,Low,good
36 months,B,B1,RENT,Source Verified,Fully Paid,DEC2000,Not Delinquent,No Inquiries,good
36 months,A,A4,RENT,Verified,Fully Paid,NOV2004,Not Delinquent,No Inquiries,good
36 months,B,B4,RENT,Source Verified,Fully Paid,APR2007,Not Delinquent,Low,good
60 months,B,B5,RENT,Verified,Fully Paid,DEC2001,Not Delinquent,Low,good
36 months,A,A3,RENT,Source Verified,Fully Paid,JAN2003,Not Delinquent,No Inquiries,good
36 months,A,A4,RENT,Not Verified,Fully Paid,MAR1994,Not Delinquent,No Inquiries,good
36 months,D,D5,MORTGAGE,Not Verified,Fully Paid,SEP1998,Not Delinquent,No Inquiries,good
36 months,D,D2,RENT,Not Verified,Fully Paid,JUN2004,Not Delinquent,No Inquiries,good
36 months,A,A1,MORTGAGE,Not Verified,Fully Paid,NOV1995,Not Delinquent,Low,good
36 months,B,B1,RENT,Not Verified,Fully Paid,JUL1999,Not Delinquent,Low,good
36 months,A,A5,MORTGAGE,Source Verified,Charged Off,JUN1995,Not Delinquent,No Inquiries,good
36 months,B,B2,RENT,Verified,Fully Paid,NOV2006,Not Delinquent,No Inquiries,good
